id,name,artist_id,year,popularity,release_date
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,4YLtscXsxbVgi031ovDDdh,2015,83,2015-05-04
3pXF1nA74528Edde4of9CC,Don't,2EMAnMvWE2eb56ToJVfCWs,2015,83,2015-10-02
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,6ltzsmQQbmdoHHbLZ4ZN25,2015,78,2015-04-07
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,5INjqkS1o8h1imAzPqGZBb,2015,85,2015-07-17
43PuMrRfbyyuz4QpZ3oAwN,Exchange,2EMAnMvWE2eb56ToJVfCWs,2015,81,2015-10-02
6FBzhcfgGacfXF3AmtfEaX,C U Girl,57vWImR43h4CaDao012Ofp,2015,81,2015-02-15
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,77SW9BnxLY8rJ0RciFqkHh,2015,85,2015-10-30
7fBv7CLKzipRk6EC6TWHOB,The Hills,1Xyo4u8uXC1ZmMpatF05PJ,2015,85,2015-08-28
7H0ya83CMmgFcOhw0UB6ow,Space Song,56ZTgzPBDge0OvCGgMO3OY,2015,77,2015-08-28
3iVcZ5G6tvkXZkZKlMpIUs,Alright,2YZyLoL8N0Wb9xBt1NhZWg,2015,80,2015-03-16
1WbhIxkn5ECsOwUm795iX1,Star Shopping,2kCcBybjl3SAtIcwdWpUe3,2015,82,2015-08-17
2Z8WuEywRWYTKe1NybPQEW,Ride,3YQKmKGau1PzlVlkL1iodx,2015,84,2015-05-15
3kQfBtkQqgN1fAMfhks8TU,Need 2,2gbT6GPXMis0OAkZbEQCYB,2015,78,2015-10-15
5jROdl6MhcmP3O7h2sVgtw,Parachute,4YLtscXsxbVgi031ovDDdh,2015,76,2015-05-04
34oWbFBfGEElvgO0a5c9V4,No Flockin',46SHBwWsqBkxI7EeeBEQG7,2015,75,2015-11-13
4k3xDpAdBuM17mNNHhOZkK,nuts,2kCcBybjl3SAtIcwdWpUe3,2015,81,2015-12-02
11iIikXxC6NP0Ma8vMD27x,Alien Blues,1W4itxt3vwhmrgLEBuVHJ6,2015,79,2015-07-24
