id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",7GlBOeep6PqTfFi59PTUUN,2024,96,2024-04-05,0.582,0.7,0.0,-5.96,116.712,0.785
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2YZyLoL8N0Wb9xBt1NhZWg,2024,96,2024-05-04,0.472,0.898,0.0,-7.001,101.061,0.214
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,6qqNVTkY8uBg9cP3Jd7DAH,2024,100,2024-05-17,0.507,0.747,0.0608,-10.171,104.978,0.438
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),246dkjvS1zLTtiykXe5h60,2024,94,2024-05-10,0.855,0.638,0.0,-4.86,127.986,0.731
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,74KM79TiuVKeVCqs8QtB0B,2024,97,2024-06-06,0.586,0.669,0.0,-6.073,107.071,0.579
2qSkIjg1o9h3YT9RAgYN75,Espresso,74KM79TiuVKeVCqs8QtB0B,2024,98,2024-04-12,0.76,0.701,6.54e-05,-5.478,103.969,0.69
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,1WaFQSHVGZQJTbf0BdxdNo,2024,94,2024-04-26,0.697,0.852,0.00037,-5.52,138.029,0.919
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),3y2cIKLjiOlp1Np37WiUdH,2024,92,2024-04-12,0.709,0.722,0.0,-4.95,81.012,0.604
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,40ZNYROS4zLfyyBSs2PGe2,2024,88,2024-05-24,0.488,0.525,5.14e-05,-6.909,84.999,0.253
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,4oUHIQIBe0LHzYfvXNW4QM,2024,87,2024-07-05,0.702,0.486,7.54e-05,-5.758,81.053,0.382
5iJKGpnFfvbjZJeAtwXfCj,28,40ZNYROS4zLfyyBSs2PGe2,2024,87,2024-07-04,0.519,0.492,8.47e-05,-6.886,80.868,0.435
629DixmZGHc7ILtEntuiWE,LUNCH,6qqNVTkY8uBg9cP3Jd7DAH,2024,93,2024-05-17,0.4,0.893,0.0823,-7.981,124.987,0.945
2tudvzsrR56uom6smgOcSf,Like That,1RyvyyTE3xzB2ZywiAwp0i,2024,89,2024-03-22,0.676,0.814,1.28e-05,-4.67,162.012,0.312
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),7Ez6lTtSMjMf2YSYpukP1I,2024,91,2024-02-16,0.672,0.756,3.37e-06,-6.743,114.935,0.739
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,25uiPmTg16RbhZWAqwLBy5,2024,91,2024-08-01,0.667,0.776,0.3,-6.622,130.019,0.618
7tI8dRuH2Yc6RuoTjxo4dU,Who,1oSPZhvZMIrWW5I41kPkkY,2024,94,2024-07-19,0.756,0.66,0.0,-3.743,116.034,0.838
4w2GLmK2wnioVnb5CPQeex,360,25uiPmTg16RbhZWAqwLBy5,2024,89,2024-06-07,0.62,0.857,0.244,-8.13,120.042,0.796
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,3bO19AOone0ubCsfDXDtYt,2024,93,2024-05-10,0.601,0.635,0.0,-6.129,123.994,0.332
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),718COspgdWOnwOFpJHRZHS,2024,85,2024-05-16,0.658,0.487,0.00777,-9.973,142.18,0.282
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),3y2cIKLjiOlp1Np37WiUdH,2024,88,2024-05-31,0.706,0.722,0.0,-4.857,80.969,0.599
19RybK6XDbAVpcdxSbZL1o,Apple,25uiPmTg16RbhZWAqwLBy5,2024,89,2024-06-07,0.957,0.804,0.0174,-5.452,126.035,0.962
51eSHglvG1RJXtL3qI5trr,Slow It Down,22wbnEMDvgVIAGdFeek6ET,2024,90,2024-04-05,0.583,0.432,0.0,-4.682,181.489,0.544
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,4j96cMcT8GRi11qbvo1cLQ,2024,88,2024-01-12,0.551,0.527,2.75e-06,-11.258,148.035,0.443
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,6qqNVTkY8uBg9cP3Jd7DAH,2024,91,2024-05-17,0.425,0.7,0.879,-12.531,110.015,0.521
