id,name,popularity,genres,year,simplified_genre
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,['pop'],2016,Pop
3TVXtAsR1Inumwj472S9r4,Drake,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2016,Hip Hop
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,['contemporary country'],2016,Country
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,92,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2016,Hip Hop
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,95,"['art pop', 'pop']",2016,Pop
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,92,"['chicago rap', 'hip hop', 'rap']",2016,Rap
7dGJo4pcD2V6oG8kP0tJRR,Eminem,93,"['detroit hip hop', 'hip hop', 'rap']",2016,Hip Hop
1RyvyyTE3xzB2ZywiAwp0i,Future,91,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2016,Hip Hop
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,93,"['rap', 'slap house']",2016,Rap
246dkjvS1zLTtiykXe5h60,Post Malone,91,"['dfw rap', 'melodic rap', 'pop', 'rap']",2016,Rap
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,94,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,R&B
4q3ewBCX7sLwd24euuV69X,Bad Bunny,94,"['reggaeton', 'trap latino', 'urbano latino']",2016,Reggae
718COspgdWOnwOFpJHRZHS,Luke Combs,87,"['contemporary country', 'country']",2016,Country
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,89,['rap'],2016,Rap
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,86,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",2016,Rap
7tYKF4w9nC0nq9CsPZTHyP,SZA,89,"['pop', 'r&b', 'rap']",2016,Pop
1URnnhqYAYcrqrcwql10ft,21 Savage,88,"['atl hip hop', 'hip hop', 'rap']",2016,Hip Hop
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,90,['pop'],2016,Pop
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,91,"['art pop', 'pop']",2016,Pop
25uiPmTg16RbhZWAqwLBy5,Charli xcx,88,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",2016,Pop
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,90,"['barbadian pop', 'pop', 'urban contemporary']",2016,Pop
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91,['pop'],2016,Pop
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,86,"['lgbtq+ hip hop', 'neo soul']",2016,Hip Hop
55Aa2cqylxrFIXC767Z865,Lil Wayne,85,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",2016,Hip Hop
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,85,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2016,Hip Hop
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,86,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2016,Hip Hop
790FomKkXshlbRYZFtlgla,KAROL G,91,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2016,Reggae
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",85,"['hip hop', 'rap']",2016,Hip Hop
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,['pop'],2016,Pop
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,86,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",2016,Hip Hop
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,84,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2016,Hip Hop
2FXC3k01G6Gw61bmprjgqS,Hozier,86,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",2016,Rock
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,87,"['r&b', 'rap']",2016,R&B
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,86,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",2016,Hip Hop
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,89,"['dance pop', 'pop']",2016,Pop
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,82,"['contemporary country', 'outlaw country']",2016,Country
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,85,"['hip pop', 'pop', 'queens hip hop', 'rap']",2016,Pop
2LRoIwlKmHjgvigdNGBHNo,Feid,91,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2016,Pop
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,83,"['r&b', 'rap']",2016,R&B
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,89,"['canadian pop', 'pop']",2016,Pop
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,81,"['baton rouge rap', 'rap']",2016,Rap
6vWDO969PvNqNYHIOW5v0m,Beyoncé,86,"['pop', 'r&b']",2016,Pop
3xvaSlT4xsyk6lY1ESOspO,Disney,84,[],2016,Other
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,90,"['permanent wave', 'pop']",2016,Pop
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,89,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2016,Pop
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,84,"['east coast hip hop', 'hip hop', 'rap']",2016,Hip Hop
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,81,"['country rap', 'nashville hip hop', 'tennessee hip hop']",2016,Country
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,85,"['dance pop', 'pop']",2016,Pop
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,82,"['atl hip hop', 'hip hop', 'rap']",2016,Hip Hop
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,84,['colombian pop'],2016,Pop
6LuN9FCkKOj5PcnpouEgny,Khalid,85,"['pop', 'pop r&b']",2016,Pop
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88,"['dance pop', 'pop', 'uk pop']",2016,Pop
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,90,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",2016,Pop
50co4Is1HCEo8bhOyUWKpn,Young Thug,83,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",2016,Hip Hop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,"['modern rock', 'pop', 'rock']",2016,Rock
4LLpKhyESsyAXpc4laK94U,Mac Miller,82,"['hip hop', 'pittsburgh rap', 'rap']",2016,Hip Hop
7CajNmpbOovFoOoasH2HaY,Calvin Harris,87,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",2016,Pop
13ZEDW6vyBF12HYcZRr4EV,Tyler Childers,79,"['kentucky indie', 'kentucky roots', 'outlaw country']",2016,Indie
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2016,Metal
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,85,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",2016,Rock
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,83,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",2016,Rap
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,81,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2016,Rap
3hcs9uc56yIGFCSy9leWe7,Lil Durk,81,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",2016,Rap
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,81,"['kentucky hip hop', 'r&b', 'rap']",2016,Hip Hop
57vWImR43h4CaDao012Ofp,Steve Lacy,81,['afrofuturism'],2016,Other
3l0CmX0FuQjFxr8SK7Vqag,Clairo,81,"['bedroom pop', 'indie pop', 'pov: indie']",2016,Pop
0Y6dVaC9DZtPNH4591M42W,TV Girl,82,['pov: indie'],2016,Indie
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,83,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",2016,Hip Hop
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,"['brooklyn indie', 'pov: indie']",2016,Indie
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,87,"['pop', 'singer-songwriter pop', 'uk pop']",2016,Pop
6icQOAFXDZKsumw3YXyusw,Lil Yachty,80,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2016,Hip Hop
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,80,"['melodic rap', 'rap', 'trap']",2016,Rap
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,82,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",2016,Rock
5nSGBmlgUdqWNExnOX8VtV,Rain Sounds,80,"['environmental', 'sleep', 'sound', 'water']",2016,Other
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,82,['chill abstract hip hop'],2016,Hip Hop
0TnOYISbd1XYRBk9myaseg,Pitbull,85,"['dance pop', 'miami hip hop', 'pop']",2016,Pop
6jJ0s89eD6GaHleKKya26X,Katy Perry,85,['pop'],2016,Pop
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,87,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2016,Reggae
04gDigrS5kc9YWfZHwBETP,Maroon 5,85,['pop'],2016,Pop
64KEffDW9EtZ1y2vBYgq8T,Marshmello,83,"['brostep', 'edm', 'pop', 'progressive electro house']",2016,Pop
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,84,"['modern alternative rock', 'modern rock', 'pop']",2016,Rock
2R21vXR83lH98kGeO99Y66,Anuel AA,88,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2016,Reggae
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,85,"['art pop', 'dance pop', 'pop']",2016,Pop
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,87,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2016,Pop
