id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
0mflMxspEfB0VbI1kyLiAv,Stick Season,2RQXRUsr4IW1f3mKyKsy4B,2022,90,2022-10-14,0.5,0.664,0.0,-6.935,117.896,0.801,Medium,Medium,Medium,Happy,0.531864,0.8340612482232846,Very High,None,0.691262249644657
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,40ZNYROS4zLfyyBSs2PGe2,2022,87,2022-04-22,0.192,0.369,8.35e-06,-12.151,175.212,0.148,Low,Fast,Low,Sad,0.0546119999999999,0.6992634707326528,High,Low,0.3355526941465305
1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,40ZNYROS4zLfyyBSs2PGe2,2022,85,2022-05-20,0.27,0.505,0.0,-9.165,98.721,0.557,Low,Slow,Medium,Neutral,0.281285,0.7764310634448895,Very High,None,0.513536212688978
3qhlB30KknSejmIvZZLjOD,End of Beginning,5p9HO3XC5P3BLxJs5Mtrhm,2022,92,2022-09-16,0.454,0.689,0.00259,-7.643,159.982,0.912,Medium,Fast,Medium,Happy,0.6283679999999999,0.8157643106344489,Very High,Low,0.7113528621268899
0OWhKvvsHptt6vnnNUSM9a,Oklahoma Smokeshow,40ZNYROS4zLfyyBSs2PGe2,2022,83,2022-07-15,0.573,0.544,0.0,-5.694,122.977,0.233,Medium,Medium,Medium,Sad,0.126752,0.8661325752681225,Very High,None,0.5379265150536245
6dgUya35uo964z7GZXM07g,Nonsense,74KM79TiuVKeVCqs8QtB0B,2022,88,2022-07-15,0.697,0.74,0.0,-4.912,138.992,0.732,High,Medium,High,Happy,0.5416799999999999,0.8863419046388422,Very High,None,0.7565183809277685
5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn",40ZNYROS4zLfyyBSs2PGe2,2022,82,2022-09-08,0.296,0.508,5e-05,-10.513,82.532,0.134,Low,Slow,Medium,Sad,0.068072,0.7415945212559762,High,Low,0.4082189042511953
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,7tYKF4w9nC0nq9CsPZTHyP,2022,87,2022-12-09,0.551,0.559,0.0,-7.231,143.008,0.392,Medium,Fast,Medium,Neutral,0.219128,0.8264116810957488,Very High,None,0.5687323362191498
4Dvkj6JhhA12EX05fT7y2e,As It Was,6KImCVD70vtIoJWnq6nGn3,2022,91,2022-05-20,0.731,0.52,0.00101,-5.338,173.93,0.662,High,Fast,Medium,Happy,0.34424,0.8753327303269156,Very High,Low,0.6793165460653832
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,5y8tKLUfMvliMe8IKamR32,2022,86,2022-07-20,0.544,0.571,0.00805,-10.613,132.052,0.216,Medium,Medium,Medium,Sad,0.1233359999999999,0.7390102080372141,High,Low,0.5091020416074428
43SoxERu5UlXAgt4Es1VQU,Porch Light,3EVsC9ZK7QMDuK4FPcZaEq,2022,80,2022-11-18,0.477,0.647,0.0,-8.264,142.034,0.477,Medium,Fast,Medium,Neutral,0.308619,0.7997157255459362,Very High,None,0.5925431451091873
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,2022,87,2022-12-08,0.735,0.644,0.144,-5.747,88.98,0.418,High,Slow,Medium,Neutral,0.269192,0.8647628892621786,Very High,Low,0.6544025778524357
1HbzxLqpNVPdiBXvpC7Ovb,Wondering Why,6IKlXZEFOvk9itrP1s0knJ,2022,80,2022-04-29,0.209,0.524,0.0,-12.437,148.59,0.347,Low,Fast,Medium,Neutral,0.181828,0.6918723349269931,High,None,0.4345744669853986
2HbpYFQbairMoU2YFyOP2x,Motorcycle Drive By,40ZNYROS4zLfyyBSs2PGe2,2022,80,2022-07-15,0.682,0.655,0.0,-4.562,124.306,0.525,High,Medium,Medium,Neutral,0.343875,0.8953870009045096,Very High,None,0.6773274001809019
48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,718COspgdWOnwOFpJHRZHS,2022,80,2022-06-24,0.745,0.608,6.47e-06,-4.13,102.025,0.464,High,Medium,Medium,Neutral,0.282112,0.906551234009562,Very High,Low,0.6659602468019123
7ByxizhA4GgEf7Sxomxhze,All My Love,2RQXRUsr4IW1f3mKyKsy4B,2022,80,2022-10-14,0.665,0.666,0.0,-7.181,116.002,0.474,High,Medium,Medium,Neutral,0.315684,0.8277038377051298,Very High,None,0.6500907675410259
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),1RyvyyTE3xzB2ZywiAwp0i,2022,83,2022-04-29,0.642,0.463,0.0,-4.474,83.389,0.339,Medium,Slow,Medium,Neutral,0.156957,0.8976611965370203,Very High,None,0.563682239307404
7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),3hcs9uc56yIGFCSy9leWe7,2022,79,2022-03-10,0.745,0.659,0.0,-3.599,74.967,0.54,High,Slow,Medium,Neutral,0.35586,0.9202739372011888,Very High,None,0.7030047874402378
6k07Z7rd9og1FvRJD2n9E8,From Austin,40ZNYROS4zLfyyBSs2PGe2,2022,78,2022-05-20,0.485,0.5,1.26e-06,-7.94,109.755,0.379,Medium,Medium,Medium,Neutral,0.1895,0.8080889003747254,Very High,Low,0.5276177800749451
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,57vWImR43h4CaDao012Ofp,2022,82,2022-07-15,0.494,0.686,5.8e-05,-7.093,168.946,0.7,Medium,Fast,Medium,Happy,0.4802,0.8299780333376405,Very High,Low,0.6702956066675281
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,7tYKF4w9nC0nq9CsPZTHyP,2022,86,2022-12-09,0.284,0.358,0.0,-8.285,99.796,0.276,Low,Slow,Low,Sad,0.098808,0.7991730197699961,Very High,None,0.4072346039539992
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],0iEtIxbK0KxaSlF7G42ZOp,2022,82,2022-12-02,0.583,0.709,2.97e-06,-5.298,116.624,0.533,Medium,Medium,High,Neutral,0.377897,0.8763664556144204,Very High,Low,0.6669732911228841
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),0iEtIxbK0KxaSlF7G42ZOp,2022,84,2022-12-02,0.668,0.573,4.01e-05,-4.356,87.973,0.145,High,Slow,Medium,Sad,0.0830849999999999,0.9007106861351596,Very High,Low,0.5552921372270319
4PMqSO5qyjpvzhlLI5GnID,Good Days,7tYKF4w9nC0nq9CsPZTHyP,2022,81,2022-12-09,0.651,0.461,1.26e-05,-8.81,121.07,0.383,Medium,Medium,Medium,Neutral,0.176563,0.785605375371495,Very High,Low,0.5539210750742991
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),6U3ybJ9UHNKEdsH7ktGBZ7,2022,81,2022-10-31,0.567,0.574,0.0,-7.126,75.965,0.526,Medium,Slow,Medium,Neutral,0.3019239999999999,0.829125209975449,Very High,None,0.6112750419950898
0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,5GGJosGMs08YEmKTZJe1fL,2022,82,2022-08-18,0.554,0.365,0.000358,-9.076,150.11,0.259,Medium,Fast,Low,Sad,0.094535,0.7787311022095877,Very High,Low,0.4684962204419175
67AdiJcurlf6gocGobfaXs,"Going, Going, Gone",718COspgdWOnwOFpJHRZHS,2022,77,2022-06-24,0.56,0.565,0.0,-6.034,159.931,0.325,Medium,Fast,Medium,Neutral,0.1836249999999999,0.8573459103243313,Very High,None,0.5622191820648663
