track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
2Dct3GykKZ58hpWRFfe2Qd,Heading South,40ZNYROS4zLfyyBSs2PGe2,2019,0.246,0.68,0.0,-14.112,110.23,0.388,Low,Medium,Medium,Neutral,0.26384,0.6381577003751957,High,None,0.4901315400750392
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,06HL4z0CvFAxyc27GXpf02,2019,0.702,0.552,2.06e-05,-5.707,169.994,0.564,High,Fast,Medium,Neutral,0.311328,0.8864663653283701,Very High,Low,0.659393273065674
7aEtlGHoiPAfRB084NiDmx,Beer Never Broke My Heart,718COspgdWOnwOFpJHRZHS,2019,0.863,0.538,0.0,-4.483,77.001,0.637,High,Slow,Medium,Happy,0.342706,0.9226269609146504,Very High,None,0.7209253921829301
0fCwTrRNfoNk962ati8n2K,All Your'n,13ZEDW6vyBF12HYcZRr4EV,2019,0.55,0.585,3.97e-05,-7.342,78.176,0.839,Medium,Slow,Medium,Happy,0.4908149999999999,0.8381636089692458,Very High,Low,0.6903827217938492
7cA3PnUQDlUyBBwpRozQeo,One Man Band,6y8XlgIV8BLlIg1tT1R10i,2019,0.358,0.706,0.0,-8.331,75.991,0.478,Medium,Slow,High,Neutral,0.337468,0.8089456113917693,Very High,None,0.5825891222783539
1aXV8GrmQLvgoFtBPERP7E,Jealous,3XxNRirzbjfLdDli06zMaB,2019,0.921,0.474,0.85,-10.431,93.01,0.696,High,Slow,Medium,Happy,0.329904,0.7469053738662885,High,High,0.6958310747732577
21jGcNKet2qwijlDFuPiPb,Circles,246dkjvS1zLTtiykXe5h60,2019,0.763,0.695,0.00242,-3.497,120.042,0.551,High,Medium,Medium,Neutral,0.382945,0.951756329581376,Very High,Low,0.7273512659162753
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,4V8LLVI7PbaPR0K2TGSxFF,2019,0.498,0.554,5.98e-06,-8.866,79.635,0.413,Medium,Slow,Medium,Neutral,0.228802,0.7931401223078969,Very High,Low,0.5525780244615794
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60,2019,0.522,0.755,0.0,-4.368,89.96,0.925,Medium,Slow,High,Happy,0.6983750000000001,0.9260244024934268,Very High,None,0.7734548804986853
1dGr1c8CrMLDpV6mPbImSI,Lover,06HL4z0CvFAxyc27GXpf02,2019,0.543,0.359,1.58e-05,-7.582,68.534,0.453,Medium,Slow,Low,Neutral,0.162627,0.8310732961091908,Very High,Low,0.5229146592218382
7EAMXbLcL0qXmciM5SwMh2,Heart To Heart,3Sz7ZnJQBIHsXLUSo0OQtM,2019,0.136,0.901,0.354,-16.127,150.076,0.643,Low,Fast,High,Happy,0.579343,0.5786286153209844,High,Medium,0.5807757230641969
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,2019,0.816,0.548,0.0,-4.209,95.39,0.557,High,Slow,Medium,Neutral,0.305236,0.9307217347632132,Very High,None,0.6937943469526426
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0Y5tJX1MQlPlqiwlOH1tJY,2019,0.427,0.598,5.83e-06,-8.764,76.469,0.0605,Medium,Slow,Medium,Sad,0.0361789999999999,0.7961535052734202,Very High,Low,0.460505701054684
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,2019,0.405,0.501,0.0,-5.679,109.891,0.446,Medium,Medium,Medium,Neutral,0.223446,0.8872935684953766,Very High,None,0.5405087136990753
51Grh1RyUDcMBbpuyUIUHI,rises the moon,5zVu34ozw0BzXIcNHqkO0u,2019,0.129,0.483,0.145,-20.149,137.35,0.203,Low,Medium,Medium,Sad,0.098049,0.4598067889745635,Low,Low,0.3198613577949127
5TxRUOsGeWeRl3xOML59Ai,ARE WE STILL FRIENDS?,4V8LLVI7PbaPR0K2TGSxFF,2019,0.497,0.216,2.39e-06,-8.025,187.308,0.313,Medium,Fast,Low,Neutral,0.067608,0.8179857602883394,Very High,Low,0.4308971520576679
1lOe9qE0vR9zwWQAOk6CoO,Ransom,4Ga1P7PMIsmqEZqhYZQgDo,2019,0.642,0.745,0.0,-6.257,179.974,0.226,Medium,Fast,High,Sad,0.16837,0.8702177316907442,Very High,None,0.6145435463381489
0nbXyq5TXYPCO7pr3N8S4I,The Box,757aE44tKEUQEqRuT6GnEB,2019,0.586,0.896,0.0,-6.687,116.971,0.642,Medium,Medium,High,Happy,0.5752320000000001,0.8575142544831458,Very High,None,0.7473028508966292
2vWBUC9djv6BtiGlmKiQaH,YKWIM?,6FugQjLquBF4JzATRN70bR,2019,0.537,0.372,0.873,-7.623,123.735,0.228,Medium,Medium,Low,Sad,0.084816,0.8298620343289315,Very High,High,0.4688224068657863
3p4hRhMcb6ch8OLtATMaLw,Cry,1QAJqy2dA3ihHBFIHRphZj,2019,0.398,0.408,0.654,-10.448,142.834,0.165,Medium,Fast,Medium,Sad,0.06732,0.7464031433720346,High,Medium,0.4124306286744069
0TZejo18HlJ86OrWNsXKnw,Mrs Magic,1AbJ2cmwK400LSvdvBL5Jc,2019,0.634,0.471,0.365,-7.406,132.542,0.366,Medium,Medium,Medium,Neutral,0.1723859999999999,0.8362728588732311,Very High,Medium,0.5585545717746462
57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),0NIPkIjTV8mB795yEIiPYL,2019,0.683,0.682,2.32e-05,-6.444,120.023,0.64,High,Medium,Medium,Happy,0.43648,0.8646931962539514,Very High,Low,0.7082886392507903
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,6l3HvQ5sa6mXTsMTB19rO5,2019,0.364,0.837,0.0,-11.713,123.984,0.463,Medium,Medium,High,Neutral,0.387531,0.709031286005495,High,None,0.599656257201099
37zuIvk4KBkAxxLJsxJaHq,Would That I,2FXC3k01G6Gw61bmprjgqS,2019,0.526,0.521,0.00537,-6.032,130.694,0.502,Medium,Medium,Medium,Neutral,0.261542,0.8768648999970456,Very High,Low,0.5886729799994092
5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,5SXuuuRpukkTvsLuUknva1,2019,0.564,0.83,0.0,-7.822,85.042,0.107,Medium,Slow,High,Sad,0.08881,0.8239829832491359,Very High,None,0.5815465966498271
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,1vyhD5VmyZ7KMfW5gqLgo5,2019,0.646,0.756,1.81e-05,-5.795,176.088,0.429,High,Fast,High,Neutral,0.324324,0.88386658394635,Very High,Low,0.6723233167892699
7cLnbmx7ZUWAwyocrKz3wL,Let Go,2rwALQ1SXdfUWPUd6WOfYS,2019,0.498,0.87,0.0,-8.339,110.017,0.692,Medium,Medium,High,Happy,0.6020399999999999,0.8087092676297675,Very High,None,0.7202418535259535
7xQAfvXzm3AkraOtGPWIZg,Wow.,246dkjvS1zLTtiykXe5h60,2019,0.538,0.829,1.88e-06,-7.359,99.952,0.389,Medium,Slow,High,Neutral,0.322481,0.8376613784749919,Very High,Low,0.6479822756949984
43zdsphuZLzwA9k4DJhU0I,when the party's over,6qqNVTkY8uBg9cP3Jd7DAH,2019,0.111,0.367,3.97e-05,-14.084,82.642,0.198,Low,Slow,Low,Sad,0.072666,0.6389849035422022,High,Low,0.3151469807084405
5IgjP7X4th6nMNDh4akUHb,Under The Influence,7bXgB6jMjp9ATFy66eO08Z,2019,0.562,0.755,0.000231,-8.947,116.931,0.368,Medium,Medium,High,Neutral,0.27784,0.7907471417176284,Very High,Low,0.6171494283435257
3RauEVgRgj1IuWdJ9fDs70,The Man,06HL4z0CvFAxyc27GXpf02,2019,0.658,0.777,0.0,-5.191,110.048,0.633,High,Medium,High,Happy,0.491841,0.9017105379774882,Very High,None,0.7361921075954976
58k32my5lKofeZRtIvBDg9,HONEST,5SXuuuRpukkTvsLuUknva1,2019,0.536,0.676,3.37e-05,-8.79,79.037,0.373,Medium,Slow,Medium,Neutral,0.252148,0.7953853880469143,Very High,Low,0.5891270776093829
5oady7OSE7dH7LHiqmb3Cr,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",5dHt1vcEm9qb8fCyLcB3HL,2019,0.597,0.737,0.0,-7.333,92.049,0.449,Medium,Slow,High,Neutral,0.330913,0.8384294957014978,Very High,None,0.6502858991402996
0fv2KH6hac06J86hBUTcSf,NEW MAGIC WAND,4V8LLVI7PbaPR0K2TGSxFF,2019,0.73,0.621,0.000131,-5.414,139.566,0.464,High,Medium,Medium,Neutral,0.288144,0.8951224556116872,Very High,Low,0.6638244911223374
5Apvsk0suoivI1H8CmBglv,Almost (Sweet Music),2FXC3k01G6Gw61bmprjgqS,2019,0.687,0.523,2.86e-06,-5.601,90.036,0.711,High,Slow,Medium,Happy,0.371853,0.8895979201748944,Very High,Low,0.6843195840349788
3jjujdWJ72nww5eGnfs2E7,Adore You,6KImCVD70vtIoJWnq6nGn3,2019,0.771,0.676,7e-06,-3.675,99.048,0.569,High,Slow,Medium,Neutral,0.384644,0.9464976808768354,Very High,Low,0.7270995361753672
6UFivO2zqqPFPoQYsEMuCc,Bags,3l0CmX0FuQjFxr8SK7Vqag,2019,0.546,0.742,0.38,-7.694,104.996,0.868,Medium,Medium,High,Happy,0.644056,0.8277644834411652,Very High,Medium,0.741652896688233
3a3dQOO19moXPeTt2PomoT,What You Heard,2ICR2m4hOBPhaYiZB3rnLW,2019,0.371,0.429,5.71e-06,-9.017,137.134,0.135,Medium,Medium,Medium,Sad,0.057915,0.7886791338001122,Very High,Low,0.4129358267600224
5WbfFTuIldjL9x7W6y5l7R,Kingston,5szilpXHcwOqnyKLqGco5j,2019,0.355,0.73,0.00155,-9.13,142.143,0.56,Medium,Fast,High,Neutral,0.4088,0.7853407781618365,Very High,Low,0.6048181556323673
3wwo0bJvDSorOpNfzEkfXx,Let Me Know (I Wonder Why Freestyle),4MCBfE4596Uoi2O4DtmEMz,2019,0.537,0.635,0.0,-7.895,125.028,0.383,Medium,Medium,Medium,Neutral,0.243205,0.8218263464208692,Very High,None,0.5848652692841738
2mdEsXPu8ZmkHRRtAdC09e,Cinnamon Girl,00FQb4jTyendYWaN8pK0wa,2019,0.337,0.294,0.414,-10.614,91.781,0.135,Medium,Slow,Low,Sad,0.03969,0.7414990103104966,High,Medium,0.3544998020620993
6WuVLG5DRHKKuJ6deCw28p,Condemned,40ZNYROS4zLfyyBSs2PGe2,2019,0.15,0.616,0.0,-13.517,126.462,0.345,Low,Medium,Medium,Neutral,0.21252,0.655735767674082,High,None,0.4396971535348164
