track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,4YLtscXsxbVgi031ovDDdh,2015,0.37,0.392,0.0096,-10.888,48.718,0.512,Medium,Slow,Low,Neutral,0.200704,0.6884696876495113,High,Low,0.4757939375299023
3pXF1nA74528Edde4of9CC,Don't,2EMAnMvWE2eb56ToJVfCWs,2015,0.356,0.765,0.0,-5.556,96.991,0.189,Medium,Slow,High,Sad,0.144585,0.8706855307224387,Very High,None,0.5398871061444878
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,6ltzsmQQbmdoHHbLZ4ZN25,2015,0.366,0.545,0.267,-9.51,86.997,0.1,Medium,Slow,Medium,Sad,0.0545,0.7355614790513294,High,Low,0.4271122958102659
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,5INjqkS1o8h1imAzPqGZBb,2015,0.74,0.64,0.00678,-4.083,116.879,0.785,High,Medium,Medium,Happy,0.5024000000000001,0.9210238534618276,Very High,Low,0.7574547706923656
43PuMrRfbyyuz4QpZ3oAwN,Exchange,2EMAnMvWE2eb56ToJVfCWs,2015,0.433,0.525,0.0,-10.598,160.108,0.276,Medium,Fast,Medium,Sad,0.1449,0.6983801517326225,High,None,0.4744260303465245
6FBzhcfgGacfXF3AmtfEaX,C U Girl,57vWImR43h4CaDao012Ofp,2015,0.473,0.414,0.0523,-8.911,100.0,0.409,Medium,Medium,Medium,Neutral,0.1693259999999999,0.756031713485066,Very High,Low,0.4959063426970132
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,77SW9BnxLY8rJ0RciFqkHh,2015,0.521,0.588,0.149,-9.461,85.012,0.337,Medium,Slow,Medium,Neutral,0.198156,0.7372360057412344,High,Low,0.5383472011482469
7fBv7CLKzipRk6EC6TWHOB,The Hills,1Xyo4u8uXC1ZmMpatF05PJ,2015,0.564,0.585,0.0,-7.063,113.003,0.137,Medium,Medium,Medium,Sad,0.080145,0.8191852915043402,Very High,None,0.514587058300868
7H0ya83CMmgFcOhw0UB6ow,Space Song,56ZTgzPBDge0OvCGgMO3OY,2015,0.792,0.508,0.124,-7.311,147.067,0.601,High,Fast,Medium,Happy,0.3053079999999999,0.8107101360125761,Very High,Low,0.6627920272025153
3iVcZ5G6tvkXZkZKlMpIUs,Alright,2YZyLoL8N0Wb9xBt1NhZWg,2015,0.766,0.796,0.0,-5.974,110.034,0.558,High,Medium,High,Neutral,0.444168,0.8564007928371267,Very High,None,0.7410801585674254
1WbhIxkn5ECsOwUm795iX1,Star Shopping,2kCcBybjl3SAtIcwdWpUe3,2015,0.471,0.538,0.0185,-9.84,93.07,0.307,Medium,Slow,Medium,Neutral,0.165166,0.7242840544050304,High,Low,0.5007568108810061
2Z8WuEywRWYTKe1NybPQEW,Ride,3YQKmKGau1PzlVlkL1iodx,2015,0.713,0.645,0.0,-5.355,74.989,0.566,High,Slow,Medium,Neutral,0.3650699999999999,0.8775545075524571,Very High,None,0.6887609015104914
3kQfBtkQqgN1fAMfhks8TU,Need 2,2gbT6GPXMis0OAkZbEQCYB,2015,0.634,0.552,0.202,-8.302,76.557,0.213,Medium,Slow,Medium,Sad,0.117576,0.7768436880595995,Very High,Low,0.5327187376119199
5jROdl6MhcmP3O7h2sVgtw,Parachute,4YLtscXsxbVgi031ovDDdh,2015,0.762,0.642,5.72e-05,-7.411,113.038,0.605,High,Medium,Medium,Happy,0.38841,0.8072927346046067,Very High,Low,0.6958085469209213
34oWbFBfGEElvgO0a5c9V4,No Flockin',46SHBwWsqBkxI7EeeBEQG7,2015,0.595,0.943,0.0,-8.372,117.532,0.815,Medium,Medium,High,Happy,0.7685449999999999,0.774451507074021,Very High,None,0.7902903014148042
4k3xDpAdBuM17mNNHhOZkK,nuts,2kCcBybjl3SAtIcwdWpUe3,2015,0.739,0.51,0.0,-7.41,62.007,0.148,High,Slow,Medium,Sad,0.0754799999999999,0.8073269086186864,Very High,None,0.5362153817237373
11iIikXxC6NP0Ma8vMD27x,Alien Blues,1W4itxt3vwhmrgLEBuVHJ6,2015,0.757,0.467,0.908,-5.093,82.282,0.433,High,Slow,Medium,Neutral,0.202211,0.8865080992413369,Very High,High,0.6149016198482674
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,1KP6TWI40m7p3QBTU6u2xo,2015,0.797,0.611,0.00137,-7.627,120.041,0.518,High,Medium,Medium,Neutral,0.316498,0.7999111475633929,Very High,Low,0.6720322295126786
5rgrBsAFYMun6yhtnLKRPz,Right My Wrongs,2EMAnMvWE2eb56ToJVfCWs,2015,0.449,0.543,0.0,-8.065,132.609,0.29,Medium,Medium,Medium,Sad,0.15747,0.7849429293964869,Very High,None,0.5046385858792974
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,3YQKmKGau1PzlVlkL1iodx,2015,0.637,0.734,2.29e-05,-5.677,169.977,0.648,Medium,Fast,High,Happy,0.475632,0.8665504750187958,Very High,Low,0.7147600950037591
51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),0Y5tJX1MQlPlqiwlOH1tJY,2015,0.527,0.402,8.48e-06,-6.737,81.42,0.31,Medium,Slow,Medium,Neutral,0.12462,0.8303260200943203,Very High,Low,0.4959152040188641
6fhgO6p9DsTyHqPctyzDkV,Sleeping on the Blacktop,3xYXYzm9H3RzyQgBrYwIcx,2015,0.309,0.583,0.207,-14.509,82.789,0.473,Low,Slow,Medium,Neutral,0.275759,0.5647255826669401,High,Low,0.4833451165333879
3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),0Y5tJX1MQlPlqiwlOH1tJY,2015,0.731,0.522,0.0,-3.803,124.055,0.179,High,Medium,Medium,Sad,0.093438,0.930592577404142,Very High,None,0.5702185154808284
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,1Xyo4u8uXC1ZmMpatF05PJ,2015,0.769,0.705,0.0,-5.526,107.949,0.583,High,Medium,High,Neutral,0.4110149999999999,0.8717107511448295,Very High,None,0.7238421502289659
0kEZlJh4mK1QRfb3CT5LPk,Kill Yourself (Part III),1VPmR4DJC1PlOtd0IADAO0,2015,0.68,0.753,4.15e-05,-7.092,105.977,0.192,High,Medium,High,Sad,0.144576,0.818194245096029,Very High,Low,0.6075388490192059
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),3hv9jJF3adDNsBSIQDqcjp,2015,0.609,0.856,8.15e-05,-7.223,114.988,0.928,Medium,Medium,High,Happy,0.7943680000000001,0.8137174492515891,Very High,Low,0.8037934898503178
178OI1A3qjROeFeh8lmNwW,Traveller,4YLtscXsxbVgi031ovDDdh,2015,0.75,0.543,0.0166,-7.071,88.107,0.758,High,Slow,Medium,Happy,0.411594,0.8189118993917026,Very High,Low,0.7036823798783406
1yCVsVH2hQ72SxNI8QTDaB,The Percocet & Stripper Joint,1RyvyyTE3xzB2ZywiAwp0i,2015,0.667,0.625,0.954,-5.875,80.046,0.0805,High,Slow,Medium,Sad,0.0503125,0.8597840202310164,Very High,High,0.5463318040462033
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,3rWZHrfrsPBxVy692yAIxF,2015,0.705,0.764,1.94e-05,-5.279,101.003,0.672,High,Medium,High,Happy,0.5134080000000001,0.8801517326225139,Very High,Low,0.7494803465245028
04aAxqtGp5pv12UXAg4pkq,Centuries,4UXqAaa6dQYAk18Lv7PEgX,2015,0.858,0.393,0.0,-2.868,176.042,0.56,High,Fast,Low,Neutral,0.22008,0.9625452805686556,Very High,None,0.6649090561137312
2N3U8uTYhjX2KwGT0pf5x0,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",13ubrt8QOOCPljQ2FL1Kca,2015,0.661,0.394,0.0,-8.684,149.818,0.335,High,Fast,Low,Neutral,0.13199,0.7637892146811565,Very High,None,0.5199578429362313
2d8JP84HNLKhmd6IYOoupQ,Trap Queen,6PXS4YHDkKvl1wkIl4V8DL,2015,0.873,0.746,0.0,-3.803,148.075,0.817,High,Fast,High,Happy,0.609482,0.930592577404142,Very High,None,0.8324185154808283
